Code;Description
CF.31;DOCUMENTATION : ARCHIVES D'IMAGES FIXES 
CF.32;DOCUMENTATION : ARCHIVES D'IMAGES ANIMEES SUR TOUT SUPPORT 
CF.33;DOCUMENTATION : ARCHIVES D'AUTRES IMAGES
CF.4;DOCUMENTATION : ARCHIVES D'ENREGISTREMENTS SONORES
CF.41;DOCUMENTATION : ARCHIVES D'ENTREGISTREMENTS SONORES 
CG;DOCUMENTATION : BIBLIOTHEQUES ET MAGASINS D'ARCHIVES
CG.0;DOCUMENTATION : FOURNITURES ET EQUIPEMENTS DE BIBLIOTHEQUES ET DE MAGASINS D'ARCHIVES
CG.01;DOCUMENTATION : FOURNITURES ET EQUIPEMENTS DE CONSERVATION DE DOCUMENTS 
CG.1;DOCUMENTATION : MOBILIERS ET RANGEMENTS DE BIBLIOTHEQUES ET DE MAGASINS D'ARCHIVES
CG.11;DOCUMENTATION : MOBILIER DE RANGEMENT DE BIBLIOTHEQUES ET DE MAGASINS D'ARCHIVES
CG.12;DOCUMENTATION : MOBILIER POUR BIBLIOTHEQUES ET MAGASINS D'ARCHIVES
CG.2;DOCUMENTATION : MATERIEL DE NUMERISATION POUR BIBLIOTHEQUES ET MAGASINS D'ARCHIVES
CG.21;DOC : EQUIPEMENTS DE NUMERISATION POUR BIBLIOTHEQUES ET MAGASINS D'ARCHIVES
CG.3;REPARATION ET MAINTENANCE DES MOBILIERS ET EQUIPEMENTS DE BIBLIOTHEQUES ET MAGASINS D'ARCHIVES
CG.31;REPARATION ET MAINTENANCE DES MOBILIERS DE BIBLIOTHEQUES ET MAGASINS D'ARCHIVES
CG.32;REPAR. ET MAINTENANCE DES EQUIPEMENTS DE BIBLIOTHEQUES ET MAGASINS D'ARCHIVES
CH;DOCUMENTATION : SYSTEMES D'INFORMATION DOCUMENTAIRE ET D'ARCHIVAGE
CH.0;DOCUMENTATION : LOGICIELS D'INFORMATION DOCUMENTAIRE
CH.01;DOC : LOGICIELS STANDARDS DE GESTION DE BIBLIOTHEQUES
CH.02;DOC : LOGICIELS SPECIFIQUES DE GESTION DE BIBLIOTHEQUES
CH.03;DOC : LOGIC. STANDARDS D'ACCES AUX CONTENUS ET RESSOURCES DOCUMENT.
CH.04;DOC : LOGIC. SPECIFIQUES D'ACCES AUX CONTENUS ET RESSOURCES DOCUMENT.
CH.05;DOC : LOGIC. STANDARDS DE TRAITEMENT ET DE CATALOGAGE PARTAGE DE DOC.
CH.06;DOC : LOGIC. SPECIFIQUES DE TRAITEMENT ET DE CATALOGAGE PARTAGE DE DOC.
CH.07;DOC : AUTRES LOGICIELS STANDARDS DE GESTION DOCUMENTAIRE
CH.08;DOCUMENTATION : AUTRES LOGICIELS SPECIFIQUES DE GESTION DOCUMENTAIRE
CH.1;DOCUMENTATION : LOGICIELS DE GESTION D'ARCHIVAGE
CH.11;DOCUMENTATION : LOGICIELS STANDARDS DE GESTION D'ARCHIVAGE
CH.12;DOCUMENTATION : LOGICIELS SPECIFIQUES DE GESTION D'ARCHIVAGE
CH.2;DOCUMENTATION : MAINTENANCE DES LOGICIELS DE GESTION DOCUMENTAIRE
CH.21;DOC : MAINTENANCE LOGICIELS STANDARDS DE GESTION DE BIBLIOTHEQUES
CH.22;DOC. : MAINTENANCE LOGICIELS SPECIFIQUES DE GESTION DE BIBLIOTHEQUES
CH.23;DOC. : MAINTENANCE LOGIC. STANDARDS D'ACCES AUX CONTENUS ET RESSOURCES DOC.
CH.24;DOC. : MAINTENANCE LOGIC. SPECIFIQUES D'ACCES AUX CONTENUS ET RESSOURCES DOC.
CH.25;DOC. : MAINTENANCE LOGIC. STANDARDS DE TRAIT. ET DE CATALOGAGE PARTAGE DE DOC
CH.26;DOC. : MAINTENANCE LOGIC. SPECIFIQ. DE TRAIT. ET DE CATALOGAGE PARTAGE DE DOC
CH.27;DOC. : MAINTENANCE D'AUTRES LOGICIELS STANDARDS DE GESTION DOCUMENTAIRE
CH.28;DOC. : MAINTENANCE D'AUTRES LOGICIELS SPECIFIQUES DE GESTION DOCUMENTAIRE
CH.3;DOCUMENTATION : MAINTENANCE DES LOGICIELS DE GESTION D'ARCHIVES
CH.31;DOCUMENTATION : MAINTENANCE DES LOGICIELS STANDARDS DE GESTION D'ARCHIVES
CH.32;DOCUMENTATION : MAINTENANCE DES LOGICIELS SPECIFIQUES DE GESTION D'ARCHIVES
CI;DOCUMENTATION : SERVICES DE GESTION DOCUMENTAIRE ET D'ARCHIVAGE
CI.0;DOCUMENTATION : SERVICES DE GESTION DOCUMENTAIRE
CI.01;DOCUMENTATION : SERVICES DE NUMERISATION D'OUVRAGES ET DE DOCUMENTS
CI.02;DOCUMENTATION : SERVICES DE NUMERISATION DE FONDS SONORES ET SOURCES AUDIO
CI.03;DOCUMENTATION : SERVICES DE NUMERISATION DE FONDS AUDIOVISUELS
CI.04;DOCUMENTATION : AUTRES SERVICES DE GESTION DOCUMENTAIRE
CI.1;DOCUMENTATION : SERVICES D'ARCHIVAGE
CI.11;DOCUMENTATION : SERVICES D'ARCHIVAGE
CI.12;DOCUMENTATION : SERVICES DE CONSEIL ET D'ASSISTANCE EN ARCHIVAGE TRADITIONNEL
CI.13;DOCUMENTATION : SERVICES DE CONSEIL ET D'ASSISTANCE EN ARCHIVAGE ELECTRONIQUE
CI.14;DOCUMENTATION : AUTRES SERVICES D'ARCHIVAGE
D;DEPLACEMENTS : TRANSPORT ET HEBERGEMENT DES PERSONNES
DA;TRANSPORT DES PERSONNES
DA.0;SERVICES DE TRANSPORT PAR VOITURE
DA.01;SERVICES DE TAXI OU DE VTC
DA.02;LOCATION DE VEHICULES ROUTIERS SANS CHAUFFEUR (COURTE DUREE)
DA.1;MOYENS DE TRANSPORT DES PERSONNES ET FRAIS CONNEXES
DA.11;NE PLUS UTILISER - SERVICES DE TRANSPORT FERROVIAIRE DE PERSONNES
DA.12;NE PLUS UTILISER - SERVICES DE TRANSPORT AERIEN DE PERSONNES
DA.13;SERVICES DE TRANSPORT MARITIME, FLUVIAL ET COTIER DE PERSONNES
DA.14;SERVICES DE TRANSPORT COLLECTIF ROUTIER ET URBAIN DE PERSONNES
DA.15;SERVICES DE TRANSPORT COLLECTIF ROUTIER ET URBAIN DES PERSONNES HANDICAPEES
DA.16;BILLETS DE TELEPHERIQUES, REMONTEES MECANIQUES OU FUNICULAIRES
DA.17;PEAGES AUTOROUTE ET DROITS DE STATIONNEMENT
DA.18;PRESTATIONS DE TRANSPORTS SANITAIRES 
DA.19;PRESTATIONS DE TRANSPORTS FUNERAIRES
DB;HEBERGEMENT DES PERSONNES (HORS EVENEMENTIEL)
DB.1;SERVICES D'HEBERGEMENT DES PERSONNES (HORS EVENEMENTIEL)
DB.11;HEBERGEMENT EN HÔTEL (HORS EVENEMENTIEL)
DB.12;HEBERGEMENT EN PENSION, DEMI-PENSION, REFUGE, CAMPING... (HORS EVENEMENTIEL)
DC;SERVICES AUXILIAIRES AUX TRANSPORTS ET A L'HEBERGEMENT DE PERSONNES
DC.0;SERVICES DE RESERVATIONS PAR AGENCES OU CENTRALES
DC.01;SERVICES DE RESERVATIONS PAR AGENCES DE VOYAGE OU CENTRALES DE RESERVATION
DC.1;AUTRES SERVICES AUXILIAIRES AUX TRANSPORTS
DC.11;SERVICES DE GESTION DES VISAS ET DES FORMALITES ADMINISTRATIVES                                                                                                
E;ETUDES - CONSEILS - ASSURANCES - PI - RESSOURCES HUMAINES
EA;ASSURANCES ET SERVICES EN ASSURANCE 
EA.0;ASSURANCES DES VEHICULES (RESPONSABILITE CIVILE, DOMMAGES AUX VEHICULES, GARANTIES DU CONDUCTEUR)
EA.01;ASSURANCES DU PARC VEHICULES ROUTIER
EA.02;ASSURANCES DE LA FLOTTE AERIENNE
EA.03;ASSURANCES DES VEHICULES MARITIMES, FLUVIAUX ET LACUSTRES
EA.1;ASSURANCES D'AUTRES BIENS
EA.11;ASSURANCES DE BIENS IMMOBILIERS
EA.12;ASSURANCES D'EQUIPEMENTS SCIENTIFIQUES
EA.13;ASSURANCES DES MARCHANDISES TRANSPORTEES
EA.14;ASSURANCES DES ANIMAUX
EA.2;AUTRES SERVICES D'ASSURANCES 
EA.21;ASSURANCE RESPONSABILITE CIVILE
EA.22;ASSURANCES RAPATRIEMENT DES AGENTS EN MISSION
EA.23;ASSURANCES COUVERTURE SANTE / MUTUELLE
EA.24;AUTRES ASSURANCES
EA.3;SERVICES DE CONSEIL ET AUDIT EN ASSURANCE
EA.31;SERVICES DE CONSEIL ET AUDIT EN ASSURANCE
EB;SERVICES D'ETUDES, ASSISTANCES ET CONSEILS 
EB.0;SERVICES DE CONSEIL ET ETUDES
EB.01;ETUDES DE MARCHES DANS LE DOMAINE DE LA VALORISATION DE LA RECHERCHE
EB.02;ASSISTANCE A MAITRISE D'OUVRAGE (HORS BATIMENTS ET SI - TELECOM)
EB.03;CONSEIL EN SECURITE (HORS CHANTIER) ET PROTECTION DES BIENS ET DES PERSONNES
EB.04;AUTRES MISSIONS D'ETUDES ET DE CONSEIL (HORS BÂTIMENT ET HORS INFORMATIQUE)
EB.1;SERVICES D'AUDIT - CERTIFICATION - ACCREDITATION
EB.11;AUDIT ORGANISATIONNEL
EB.12;AUDIT FINANCIER
EB.13;CERTIFICATION LEGALE DES COMPTES
EB.14;AUDIT ENERGERTIQUE (ENVIRONNEMENTAL, BILAN CARBONE,…)
EB.15;AUDIT HYGIENE ET SECURITE
EB.16;AUTRES SERVICES D'AUDIT ET D'ACCREDITATION
EB.2;SERVICES D'ENQUETES
EB.21;ENQUETES
EB.22;SONDAGES
EB.3;SERVICES FINANCIERS ET COMPTABLES
EB.31;SERVICES BANCAIRES
EB.32;INTERMEDIATION FINANCIERE ET ACTIVITES DE CONSEIL
EB.33;AUTRES SERVICES FINANCIERS ET COMPTABLES
EB.4;SERVICES D'ADMINISTRATION D'IMMEUBLES
EB.41;SERVICES D'ADMINISTRATION D'IMMEUBLES ET FRAIS D'AGENCES IMMOBILIERES
EB.5;SERVICES DE TRADUCTION ET D'INTERPRETARIAT
EB.51;SERVICES DE TRADUCTION
EB.52;SERVICES D'INTERPRETARIAT
EB.6;SERVICES JURIDIQUES
EB.61;SERVICES DE CONSEILS JURIDIQUES
EB.62;SERVICES D'ETABLISSEMENT D'ACTES AUTHENTIQUES ET DES AUXILIAIRES DE JUSTICE
EB.63;SERVICES DE REPRESENTATION JURIDIQUE
EC;FORMATIONS ET GESTION DES RESSOURCES HUMAINES
EC.0;FORMATIONS D'ACCOMPAGNEMENT ET TESTS
EC.01;FORMATIONS D'ACCOMPAGNEMENT TECHNIQUES ET METIERS SCIENTIFIQUES
EC.02;FORMATIONS D'ACCOMPAGNEMENT EN LANGUES
EC.03;FORMATIONS D'ACCOMPAGNEMENT EN BUREAUTIQUE
EC.04;FORMATIONS D'ACCOMPAGNEMENT EN PREVENTION ET SECURITE
EC.05;FORMATIONS D'ACCOMPAGNEMENT EN METHODES DE TRAVAIL (MANAGEMENT, SAVOIR ETRE,…)
EC.06;FORMATIONS D'ACCOMPAGNEMENT DES FONCTIONS SUPPORT ET SOUTIEN
EC.07;AUTRES FORMATIONS D'ACCOMPAGNEMENT
EC.08;TESTS PROFESSIONNELS
EC.1;FORMATIONS PREPARATOIRES
EC.11;FORMATIONS D'APPRENTISSAGE DE LA CONDUITE (AUTOMOBILE, BATEAU, AVION,…)
EC.12;PREPARATIONS AUX CONCOURS
EC.13;PREPARATIONS AUX EXAMENS PROFESSIONNELS
EC.14;FORMATIONS D'INSERTION PROFESSIONNELLE
EC.15;AUTRES FORMATIONS PREPARATOIRES
EC.2;SERVICES DE GESTION DES RESSOURCES HUMAINES
EC.21;BILANS DE COMPETENCES, VAE, QUALIFICATION, INSERTION PROFESSIONNELLE
EC.22;AUDITS D'UNITES OU DE SERVICES
EC.23;ASSISTANCE, CONSEIL ET SERVICES EN RECRUTEMENT
EC.24;PSYCHOLOGUES, GRAPHOLOGUES
EC.25;ORGANISATION DE CONCOURS
EC.26;SERVICES D'AGENCES INTERIM
EC.27;AUTRES SERVICES DE GESTION DES RESSOURCES HUMAINES
EC.3;SERVICES SOCIAUX
EC.31;SERVICES SOCIAUX DE CONSEIL EN ECONOMIE SOCIALE ET FAMILIALE 
EC.32;SERVICES SOCIAUX D'HEBERGEMENT
EC.33;SERVICES SOCIAUX DE REINSERTION
EC.34;SERVICES SOCIAUX DE SOIN ET D'AIDE A DOMICILE
EC.35;SERVICES SOCIAUX : ASSISTANTES SOCIALES INTER-ENTREPRISES
EC.36;AUTRES SERVICES SOCIAUX
EC.4;SERVICES DE MEDECINE DU TRAVAIL
EC.41;MEDECINE DE PREVENTION : PRESTATAIRES MEDICAUX
EC.42;MEDECINE DE PREVENTION : FOURNITURES MEDICALES ET DE SOIN
ED;PROPRIETE INTELLECTUELLE
ED.0;BREVETS D'INVENTION ET LOGICIELS APP
ED.01;SERVICES DE DEPOT DE BREVET D'INVENTION ET DE LOGICIELS APP
ED.02;SERVICES DE PROPRIETE INTELLECTUELLE : BREVET D'INVENTION, GESTION DES ANNUITES
ED.1;AUTRES SERVICES DANS LE DOMAINE DE LA PROPRIETE INTELLECTUELLE
ED.11;AUTRES SERVICES DE PROPRIETE INTELLECTUELLE (HORS BREVETS D'INVENTION)
F;FRET / EXPEDITION / TRANSPORT / DEMENAGEMENT
FA;FOURNITURES, CONSOMMABLES ET PETITS EQUIPEMENTS POUR LE TRANSPORT DE MARCHANDISES ET L'AFFRANCHISSEMENT
FA.0;FOURNITURES ET EQUIPEMENTS POUR L'EMBALLAGE ET LE TRANSPORT
FA.01;FOURNITURES D'EMBALLAGE ET DE TRANSPORT DE MARCHANDISES ORDINAIRES
FA.02;FOURNITURES D'EMBALLAGE POUR LE TRANSPORT DE MARCHANDISES SPECIFIQUES
FA.03;EQUIPEMENTS POUR LE DEPLACEMENT DE MARCHANDISES ET ACCESSOIRES
FA.1;FOURNITURES ET EQUIPEMENTS POUR L'AFFRANCHISSEMENT
FA.11;EQUIPEMENTS DE PESEE DU COURRIER ET D'HORODATAGE
FB;SERVICES D'EXPEDITION DU COURRIER ET SERVICES CONNEXES
FB.0;SERVICES D'EXPEDITION DU COURRIER
FB.01;COURRIER : COURRIERS ET AFFRANCHISSEMENT ORDINAIRE
FB.02;COURRIER : SERVICES DE COURSIERS ET COURRIERS EXPRESS
FB.1;SERVICES CONNEXES A L'EXPEDITION DE COURRIER
FB.11;SERVICES DE DISTRIBUTION ET ROUTAGE
FB.12;SERVICES DE BOITES POSTALES, DE POSTE RESTANTE OU DE REEXPEDITION
FC;SERVICES D'EXPEDITION/TRANSPORT DE MARCHANDISES
FC.0;SERVICES D'EXPEDITION ORDINAIRE DE MARCHANDISES ET SERVICES CONNEXES
FC.01;TRANSPORTS ROUTIERS ET URBAINS DE MARCHANDISES (EN AFFRETEMENT)
FC.02;TRANSPORTS AERIENS DE MARCHANDISES
FC.03;TRANSPORTS MARITIMES ET FLUVIAUX EN CONTENEURS
FC.04;TRANSPORTS FERROVIAIRES DE MARCHANDISES
FC.05;SERVICES DES GARES, AEROPORTS, PORTS FLUVIAUX ET MARITIMES,…
FC.1;SERVICES D'EXPEDITION DE MARCHANDISES SPECIALISES
FC.11;TRANSPORTS SPECIALISES D'ANIMAUX DE LABORATOIRE
FC.12;TRANSPORTS SPECIALISES DE PRODUITS BIOLOGIQUES UN3373
FC.13;TRANSPORTS DE MARCHANDISES DANGEREUSES
FC.14;TRANSPORTS DE PRODUITS INFECTIEUX (CLASSE 6.2)
FC.15;AUTRES SERVICES DE TRANSPORT/EXPEDITION SPECIALISES
FD;SERVICES DE DEPLACEMENT ET D'ENTREPOSAGE DE MARCHANDISES
FD.0;SERVICES DE DEPLACEMENT DE MARCHANDISES ET SERVICES CONNEXES
FD.01;SERVICES DE DEMENAGEMENT COURANTS
FD.02;SERVICES DE DEMONTAGE ET DE DEMENAGEMENT D'INSTRUMENTS
FD.03;OPERATIONS DE MANUTENTION MECANIQUE DE MATERIEL
FD.1;SERVICES DE GARDE-MEUBLES ET D'ENTREPOT
FD.11;SERVICES DE GARDE-MEUBLES
FD.12;SERVICES D'ENTREPOT GARDIENNAGE DE MATERIEL
G;GAZ DE LABORATOIRE OU D'ATELIER - CRYOGENIE
GA;GAZ DE LABORATOIRE OU D'ATELIER - CRYOGENIE : CONSOMMABLES
GA.0;GAZ D'ATELIER OU DE LABORATOIRE DE QUALITE INDUSTRIELLE CONDITIONNES EN BOUTEILLES
GA.01;ACETYLENE DE QUALITE INDUSTRIELLE EN BOUTEILLE
GA.02;AIR SYNTHETIQUE DE QUALITE INDUSTRIELLE EN BOUTEILLE
GA.03;ARGON DE QUALITE INDUSTRIELLE EN BOUTEILLE
GA.04;AZOTE GAZEUX DE QUALITE INDUSTRIELLE EN BOUTEILLE
GA.05;DIOXYDE DE CARBONE DE QUALITE INDUSTRIELLE EN BOUTEILLE
GA.06;HELIUM GAZEUX DE QUALITE INDUSTRIELLE EN BOUTEILLE
GA.07;HYDROGENE DE QUALITE INDUSTRIELLE EN BOUTEILLE
GA.08;OXYGENE DE QUALITE INDUSTRIELLE EN BOUTEILLE
GA.09;AUTRES GAZ SIMPLES OU EN MELANGE DE QUALITE INDUSTRIELLE EN BOUTEILLE
GA.1;GAZ DE LABORATOIRE SIMPLES DE TRES HAUTE PURETE
GA.11;ARGON DE TRES HAUTE PURETE (SUPERIEURE A 5.0) EN BOUTEILLE
GA.12;AZOTE GAZEUX DE TRES HAUTE PURETE (SUPERIEURE A 5.0) EN BOUTEILLE
GA.13;DIOXYDE DE CARBONE DE HAUTE PURETE (PURETE SUPERIEURE A D.0) EN BOUTEILLE
GA.14;GAZ RARES DE TRES HAUTE PURETE (NEON, XENON, KRYPTON,...) EN BOUTEILLE
GA.15;HELIUM GAZEUX DE HAUTE PURETE (PURETE SUPERIEURE A 5.0) EN BOUTEILLE
GA.16;GAZ FLUORES OU CHLORES DE TRES HAUTE PURETE (SUPERIEURE A D.0) EN BOUTEILLE
GA.17;HYDROGENE DE HAUTE PURETE (PURETE SUPERIEURE A 5.0) EN BOUTEILLE
GA.18;OXYGENE DE HAUTE PURETE (PURETE SUPERIEURE A 4.5) EN BOUTEILLE
GA.19;AUTRES GAZ NON MELANGES HAUTE PURETE EN BOUTEILLE
GA.2;GAZ DE LABORATOIRE EN MELANGE DE TRES HAUTE PURETE
GA.21;MELANGES DE GAZ SCIENTIFIQUES DE HAUTE PURETE EN BOUTEILLE
GA.3;GAZ MEDICAUX
GA.31;GAZ MEDICAUX 
GA.4;PRESTATIONS CONNEXES A L'ACHAT DE GAZ CONDITIONNES EN BOUTEILLES
GA.41;PRESTATIONS CONNEXES A L'ACHAT DE GAZ EN BOUTEILLES (LOCATION DE BOUTEILLES,…)
GA.5;GAZ ET CRYOGENIE : GAZ LIQUIDES ET SOLIDES EN VRAC ET DEWAR
GA.51;AZOTE LIQUIDE EN VRAC ET DEWAR
GA.52;HELIUM LIQUIDE EN VRAC ET DEWAR
GA.53;ARGON EN VRAC
GA.54;OXYGENE EN VRAC
GA.55;GLACE CARBONIQUE (HORS TRANSPORT DE PRODUITS BIOLOGIQUES)
GA.6;PRESTATIONS CONNEXES A L'ACHAT DE GAZ LIQUIDES ET SOLIDES EN VRAC
GA.61;PRESTATIONS CONNEXES A L'ACHAT DE GAZ LIQUIDES ET SOLIDES EN VRAC
GB;GAZ DE LABORATOIRE OU D'ATELIER : MATERIEL DE GENERATION, STOCKAGE, DISTRIBUTION ET ANALYSE DES GAZ
GB.0;MATERIEL DE GENERATION, TRAITEMENT ET PREPARATION DES GAZ
GB.01;GENERATEURS DE GAZ (AIR, AZOTE, HYDROGENE, OXYGENE,…)
GB.02;MATERIEL DE TRAITEMENT ET PURIFICATION DES GAZ (COMPRESSEURS, SECHEURS,…)
GB.03;LIQUEFACTEURS ET ACCESSOIRES
GB.04;MATERIEL DE PREPARATION DES GAZ (REALISATION DE MELANGES,…)
GB.1;MATERIEL DE STOCKAGE ET DE DISTRIBUTION DES GAZ ET PRODUITS CRYOGENIQUES
GB.11;MATERIEL DE STOCKAGE DES GAZ ET PRODUITS CRYOGENIQUES
GB.12;MATERIEL DE DISTRIBUTION DES GAZ ET PRODUITS CRYOGENIQUES
GB.13;CRYOGENERATEURS ET CRYOSTATS (HORS MICROSCOPIE ET RMN)
GB.2;INSTRUMENTS POUR L'ANALYSE DES GAZ
GB.21;INSTRUMENTS POUR L'ANALYSE DES GAZ (HORS RGA)
GC;GAZ DE LABORATOIRE OU D'ATELIER - CRYOGENIE : REPARATION ET MAINTENANCE DES EQUIPEMENTS
GC.0;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE GENERATION, STOCKAGE ET DISTRIBUTION DES GAZ
GC.01;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE GENERATION ET TRAITEMENT DES GAZ
GC.02;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE STOCKAGE ET DISTRIBUTION DES GAZ
GC.03;REPARATION ET MAINTENANCE DES CRYOGENERATEURS ET CRYOSTATS
H;HYGIENE ET SECURITE AU TRAVAIL
HA;SECURITE AU TRAVAIL : CONSOMMABLES ET EQUIPEMENTS DE PROTECTION INDIVIDUELS ET COLLECTIFS
HA.0;SECURITE AU TRAVAIL : CONSOMMABLES ET EQUIPEMENTS DE PROTECTION INDIVIDUELLE
HA.01;EPI : GANTS A USAGE UNIQUE
HA.02;EPI : AUTRES EPI JETABLES (BLOUSES, SURCHAUSSES, CHARLOTTES, MASQUES…)
HA.03;EPI : BLOUSES ET AUTRES VETEMENTS DE LABORATOIRE REUTILISABLES
HA.04;EPI : VETEMENTS DE TRAVAIL ET DE PROTECTION COURANTS (HORS LABORATOIRE)
HA.05;EPI : ACCESSOIRES (LUNETTES, CASQUES, ETC…)
HA.06;EQUIPEMENTS ET VETEMENTS DE PROTECTION ET SECURITE INDIVIDUELLE SPECIAUX
HA.07;EQUIPEMENTS DE RADIOPROTECTION INDIVIDUELLE
HA.1;SECURITE AU TRAVAIL : CONSOMMABLES ET PETITS EQUIPEMENTS COLLECTIFS
HA.11;CONSOMMABLES POUR RECEPTION DES DECHETS (ABSORBANTS, RECIPIENTS,…)
HA.12;PETIT MATERIEL DE SECURITE COLLECTIVE (SIGNALETIQUE, DETECTEURS…)
HA.2;SECURITE AU TRAVAIL : EQUIPEMENTS DE SECURITE COLLECTIFS
HA.21;ARMOIRES DE SECURITE ET RANGEMENTS
HA.22;ENCEINTES DE CONFINEMENT DES SUBST. DANGEREUSES ET CONSOMM. ASSOCIES
HA.23;POSTES DE SECURITE MICROBIOLOGIQUES (PSM) - HOTTES ET CONSOMMABLES ASSOCIES
HA.24;SECURITE AU TRAVAIL : AUTRES EQUIPEMENTS SPECIAUX ET CONSOMMABLES ASSOCIES
HB;SECURITE AU TRAVAIL : REPARATION, MAINTENANCE ET VERIFICATION DES EQUIPEMENTS DE SANTE ET SECURITE
HB.0;SECURITE AU TRAVAIL : REPARATION, MAINTENANCE, VERIFICATION DES EQUIPEMENTS DE SANTE ET SECURITE
HB.01;SECURITE AU TRAVAIL : REPARATION, MAINTENANCE ET VERIFICATION DES HOTTES ET PSM
HB.02;SECURITE AU TRAVAIL : MAINTENANCE ET VERIF. DES AUTRES EQUIP. DE PROTECTION
HC;SECURITE AU TRAVAIL : SERVICES
HC.0;SECURITE AU TRAVAIL : SERVICES D'ENTRETIEN DES VETEMENTS DE PROTECTION INDIVIDUELLE
HC.01;SERVICES DE LOCATION ET ENTRETIEN DES BLOUSES DE LABORATOIRE
HC.02;SERVICES DE LOCATION ET ENTRETIEN AUTRES VETEMENTS DE PROTECTION INDIVIDUELLE
I;INFORMATIQUE - TELECOMMUNICATIONS - AUDIOVISUEL
IA;INFORMATIQUE : EQUIPEMENTS, CONSOMMABLES ET PIECES DETACHEES POUR L'INFORMATIQUE
IA.0;INFORMATIQUE : ORDINATEURS FIXES
IA.01;MICRO-ORDINATEURS ET STATIONS DE TRAVAIL FIXES
IA.1;INFORMATIQUE : APPAREILS MOBILES
IA.11;ORDINATEURS PORTABLES
IA.12;AUTRES APPAREILS MOBILES (TABLETTES ET ORDINATEURS ULTRAPORTABLES)
IA.2;INFORMATIQUE : PERIPHERIQUES, ACCESSOIRES ET CONSOMMABLES
IA.21;IMPRIMANTES 
IA.22;CONSOMMABLES POUR IMPRIMANTES
IA.23;PETITES FOURNITURES POUR LE STOCKAGE EXTERNE DES DONNEES
IA.24;AUTRE MATERIEL INFORMATIQUE PERIPHERIQUE (ECRANS, CLAVIERS, SOURIS,…)
IA.25;COMPOSANTS INTERNES POUR ORDINATEURS
IA.3;INFORMATIQUE : SERVEURS
IA.31;SERVEURS D'APPLICATIONS
IA.32;SYSTEMES POUR LE STOCKAGE ET LA SAUVEGARDE DE DONNEES
IA.33;SERVEURS POUR LE CALCUL OU L'EXPLOITATION DE DONNEES SCIENTIFIQUES
IA.34;SERVEURS HAUTES PERFORMANCES, SUPER CALCULATEURS 
IA.4;INFORMATIQUE: EQUIPEMENTS POUR RESEAUX INFORMATIQUES / TELECOM
IA.41;RESEAUX : PETITS EQUIPEMENTS DE RESEAUX INFORMATIQUES
IA.42;RESEAUX : EQUIPEMENTS DE RESEAUX INFORMATIQUES
IA.43;RESEAUX : EQUIPEMENTS DE TRANSMISSION DE DONNEES SANS FIL (dont bornes Wi-Fi)
IA.44;RESEAUX : EQUIPEMENTS DE SUPERVISION ET METROLOGIE
IA.45;RESEAUX : ANALYSEURS
IA.46;CONCEPTION, REALISATION DE RESEAUX INFORMATIQUES
IA.5;INFORMATIQUE : SYSTEMES SPECIALISES
IA.51;INFORMATIQUE : SYSTEMES DE SORTIE POUR LA REALITE VIRTUELLE
IA.52;INFORMATIQUE : CALCULATEURS EMBARQUES
IA.53;INFORMATIQUE : ROBOTS PROTOTYPES
IA.54;INFORMATIQUE : AUTRES SYSTEMES DE PILOTAGE
IA.55;INFORMATIQUE : CAPTEURS POUR LA REALITE VIRTUELLE
IA.56;INFORMATIQUE : CAPTEURS POUR LA ROBOTIQUE
IA.57;INFORMATIQUE : ACTIONNEURS
IB;INFORMATIQUE : LOGICIELS STANDARDS ET SPECIFIQUES
IB.0;LOGICIELS POUR SYSTEME ET RESEAUX : DROITS ET MAINTENANCE
IB.01;DROITS D'UTILISATION DE LOGICIELS STANDARDS POUR SYSTEME ET RESEAUX
IB.02;DROITS D'UTILISATION DE LOGICIELS SPECIFIQUES POUR SYSTEME ET RESEAUX
IB.03;MAINTENANCE DES LOGICIELS POUR SYSTEME ET RESEAUX
IB.1;LOGICIELS BUREAUTIQUES : DROITS ET MAINTENANCE
IB.11;DROITS D'UTILISATION DE LOGICIELS STANDARDS DE BUREAUTIQUE
IB.12;DROITS D'UTILISATION DE LOGICIELS SPECIFIQUES DE BUREAUTIQUE
IB.13;MAINTENANCE DES LOGICIELS DE BUREAUTIQUE
IB.2;LOGICIELS POUR LE DEVELOPPEMENT : DROITS ET MAINTENANCE
IB.21;DROITS D'UTILISATION DE LOGICIELS STANDARDS DE DEVELOPPEMENT
IB.22;DROITS D'UTILISATION DE LOGICIELS SPECIFIQUES DE DEVELOPPEMENT
IB.23;MAINTENANCE DES LOGICIELS DE DEVELOPPEMENT
IB.3;AUTRES LOGICIELS : DROITS ET MAINTENANCE
IB.31;DROITS D'UTIL. DES AUTRES LOGICIELS SCIENTIFIQUES
IB.32;DROITS D'UTILISATION DES AUTRES LOGICIELS
IB.33;MAINTENANCE DES AUTRES LOGICIELS SCIENTIFIQUES
IB.34;MAINTENANCE DES AUTRES LOGICIELS
IC;INFORMATIQUE : MAINTENANCE, ENTRETIEN ET REPARATION DES EQUIPEMENTS INFORMATIQUES
IC.0;MAINTENANCE ET REPARATION DES ORDINATEURS
