Code;Description;Detailed English Description;Detailed French Description
AA.16;PREPARATIONS ALIMENTAIRES ET PLATS CUISINES FRAIS - REFRIGERES;Fresh ready meals and chilled food (e.g. salads, sandwiches);Plats cuisinés frais et produits réfrigérés (salades, sandwiches)
AA.2;BOISSONS ET EPICERIE;Beverages and grocery staples (e.g. oil, sugar, spices);Boissons et produits d'épicerie courants (huile, sucre, épices)
AA.21;BOISSONS NON ALCOOLISEES;Non-alcoholic beverages (e.g. juices, sodas, water);Boissons non alcoolisées (jus, sodas, eaux)
AA.22;BOISSONS ALCOLISEES;Alcoholic beverages (e.g. wine, beer, spirits);Boissons alcoolisées (vins, bières, spiritueux)
AA.23;CONSERVES ET EPICERIE;Canned foods and pantry items (e.g. canned beans, pasta);Conserves et produits d'épicerie (légumes en boîte, pâtes, riz)
AA.3;ALIMENTATION SPECIFIQUE;Specialty foods (e.g. for dietary needs or specific populations);Alimentation particulière (besoins diététiques ou groupes spécifiques)
AA.31;ALIMENTS ADAPTES A L'ENFANT;Food products for children (e.g. baby food, snacks for toddlers);Produits alimentaires pour enfants (petits pots, collations adaptées)
AA.32;ALIMENTS DIETETIQUES SANS FIN MEDICALE;Diet or health foods not requiring medical prescription (e.g. protein bars, low-sugar items);Produits diététiques sans but médical (barres protéinées, produits allégés)
AA.4;PETITES FOURNITURES ET EQUIPEMENTS POUR LA RESTAURATION;Small supplies and kitchen tools for food service;Petits équipements et consommables pour la restauration collective ou professionnelle
AA.41;CONSOMMABLES POUR LA RESTAURATION;Disposable food service items (e.g. napkins, plastic cutlery);Consommables de restauration (serviettes, gobelets, couverts jetables)
AA.42;PETITES FOURNITURES POUR LA RESTAURATION;Small utensils and tools for kitchens (e.g. ladles, cutting boards);Petits matériels de cuisine (louches, planches à découper, ustensiles)
AA.43;MOBILIER DE CUISINE ET DE SALLE DE RESTAURATION;Furniture for kitchens and dining areas (e.g. tables, chairs, shelves);Mobilier de cuisine ou de salle de restauration (tables, chaises, étagères)
AA.44;EQUIPEMENTS DE CUISINE ET DE SALLE DE RESTAURATION (ELECTROMENAGER,…);Kitchen appliances and equipment (e.g. ovens, fridges, dishwashers);Équipements électroménagers de cuisine ou restauration (fours, réfrigérateurs, lave-vaisselle)
AA.5;PETITES FOURNITURES ET EQUIPEMENTS POUR L'HOTELLERIE ET LA BUANDERIE;Hotel and laundry room supplies and furnishings;Petites fournitures et équipements pour l'hôtellerie et la blanchisserie
AA.51;PETITES FOURNITURES POUR L'HOTELLERIE;Small hotel supplies (e.g. toiletries, towels, hangers);Fournitures hôtelières (produits d'accueil, cintres, serviettes)
AA.52;MOBILIER D'HOTELLERIE;Hotel room furniture (e.g. beds, desks, nightstands);Mobilier pour chambres d’hôtel (lits, bureaux, tables de chevet)
AA.53;EQUIPEMENT POUR L'HOTELLERIE ET LA BUANDERIE;Equipment for hotel operations and laundry (e.g. ironing machines, carts);Équipements pour hôtellerie et blanchisserie (presses, chariots, machines à laver)
AA.6;SERVICES DE RESTAURATION ET SERVICES CONNEXES;Catering and related service providers;Services de restauration et prestations associées
AA.61;SERVICES DE RESTAURATION SOCIALE (RESTAURANT PROPRE A GESTION CONCEDEE);In-house catering services managed by third parties (e.g. company canteens);Services de restauration sur site en gestion concédée (cantines d’entreprise)
AA.62;TICKETS ET CHEQUES REPAS;Meal vouchers or restaurant coupons (e.g. Ticket Restaurant);Titres-restaurant et chèques repas pour les salariés
AA.63;SERVICES DE TRAITEURS / PLATEAUX REPAS;Catering services and meal tray delivery (e.g. for meetings or events);Services de traiteur ou de livraison de plateaux-repas (réunions, séminaires)
AA.64;SERVICES DE RESTAURATION EXTERIEURS (RESTAURANTS);External restaurant dining services (e.g. meal reimbursements, partner restaurants);Prestations de restauration extérieure (repas au restaurant, remboursements)
AA.65;SERVICES DE CONTROLES SANITAIRES ET DE QUALITE;Sanitary inspections and food quality audits;Contrôles sanitaires et prestations d’audit qualité alimentaire
AA.66;SERVICES DE BLANCHISSERIE- PRESSING POUR LA RESTAURATION ET L'HOTELLERIE;Laundry and dry-cleaning services for hotels and kitchens;Services de blanchisserie et pressing pour hôtellerie ou restauration
AA.7;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE RESTAURATION ET HOTELLERIE;Maintenance and repair of hospitality and food service equipment;Maintenance et réparation des équipements de cuisine et d’hôtellerie
AA.71;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE RESTAURATION ET DE CUISINE;Repair and upkeep of kitchen and catering equipment (e.g. ovens, mixers);Maintenance des équipements de cuisine et restauration (fours, mixeurs)
AA.72;REPARATION ET MAINTENANCE DES EQUIPEMENTS D'HOTELLERIE ET BUANDERIE;Repair of hotel and laundry equipment (e.g. beds, laundry machines);Entretien et réparation des équipements d’hôtellerie et de blanchisserie
AB;BUREAU (HORS INFORMATIQUE);Office supplies and furnishings (excluding IT);Équipements et fournitures de bureau hors informatique
AB.0 ;CONSOMMABLES, FOURNITURES ET EQUIPEMENTS DE BUREAU;Office consumables, supplies, and equipment (pens, staplers, lamps);Fournitures et équipements de bureau (stylos, agrafeuses, lampes)
AB.01;PETITES FOURNITURES ET PETITS EQUIPEMENTS DE BUREAU (HORS INFORMATIQUE);Small office items (e.g. pens, tape dispensers, folders);Petites fournitures de bureau (stylos, ruban adhésif, classeurs)
AB.02;MOBILIER DE BUREAU ET DE SALLES DE REUNION;Office and meeting room furniture (e.g. desks, chairs, meeting tables);Mobilier de bureau et de réunion (bureaux, chaises, tables de conférence)
AB.1;REPARATION ET MAINTENANCE DU MOBILIER ET DES EQUIPEMENTS DE BUREAU ET DE SALLE DE REUNION;Maintenance and repair of office furniture and equipment;Maintenance et réparation du mobilier et des équipements de bureau et réunion
AB.11;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE BUREAU ET DE SALLE DE REUNION;Repairs of desks, chairs, and meeting equipment (e.g. projectors, screens);Réparation des bureaux, chaises, équipements de réunion (vidéoprojecteurs, écrans)
AC;IMPRESSION-REPROGRAPHIE;Printing and reprography (paper, machines, services);Impression et reprographie (papier, équipements, services)
AC.0;PAPIERS ET CARTONS D'IMPRESSION-REPROGRAPHIE;Paper and cardboard for printing (various weights and finishes);Papiers et cartons pour impression et reprographie (différents grammages)
AC.01;PAPIERS BLANCS OU COLORES COURANTS POUR IMPRESSION-REPROGRAPHIE;Standard white or colored printing paper (e.g. A4 office paper);Papiers blancs ou colorés standards pour imprimantes et copieurs (A4, A3)
AC.02;PAPIERS CARTONNES POUR IMPRESSION-REPROGRAPHIE;Thick paper or cardstock (e.g. covers, business cards);Papiers cartonnés pour impression (cartes de visite, couvertures)
AC.03;AUTRES SUPPORTS PAPIER SPECIFIQUES D'IMPRESSION-REPROGRAPHIE;Specialty printing media (e.g. glossy, adhesive, tracing paper);Supports papier spécifiques (papier photo, autocollant, calque)
AC.1;CONSOMMABLES POUR LA REPROGRAPHIE;Consumables for reprography (e.g. toners, staples);Consommables pour photocopieurs et imprimantes (toners, agrafes)
AC.11;CONSOMMABLES POUR PHOTOCOPIEURS (ENCRES, AGRAPHES,…);Photocopier consumables (toner cartridges, staples, drums);Consommables pour copieurs (cartouches, tambours, agrafes)
AC.12;SUPPORTS SPECIFIQUES D'IMPRESSION;Special print media (e.g. transparencies, labels, transfer paper);Supports spécifiques d’impression (transparents, étiquettes, papiers transfert)
AC.2;EQUIPEMENTS POUR REPROGRAPHIE;Reprography equipment (e.g. printers, copiers, binding machines);Matériels de reprographie (imprimantes, copieurs, relieuses)
AC.21;EQUIPEMENTS DE REPROGRAPHIE DE PROXIMITE;Small or desktop reprography machines (e.g. office printers, MFPs);Matériel de reprographie de proximité (imprimantes de bureau, multifonctions)
AC.22;EQUIPEMENTS DE REPROGRAPHIE HAUT DEBIT POUR IMPRIMERIE;High-volume printing equipment (e.g. production copiers, offset presses);Équipements d'impression à haut débit (presses numériques, copieurs de production)
AC.23;AUTRES EQUIPEMENTS POUR ATELIER DE REPROGRAPHIE;Other reprographic tools (e.g. binding, cutting, laminating machines);Autres équipements d’atelier de reprographie (relieuses, massicots, plastifieuses)
AC.3;SERVICES D'IMPRESSION ET DE REPROGRAPHIE;Printing and reprography services (outsourced or on demand);Services d'impression ou de reprographie (prestataires externes ou internes)
AC.31;SERVICES D'IMPRESSION ET DE REPROGRAPHIE;Printed material services (e.g. flyers, posters, reports);Services de production de documents imprimés (flyers, affiches, rapports)
AC.4;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE REPROGRAPHIE;Repair and maintenance of printing and copying equipment;Maintenance et réparation des matériels d’impression et de reprographie
AC.41;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE REPROGRAPHIE DE PROXIMITE;Repair of standard office printers and copiers;Maintenance des imprimantes et copieurs de bureau
AC.42;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE REPROGRAPHIE HAUT DEBIT;Maintenance of high-throughput printing systems;Maintenance des systèmes d’impression à haut débit
AC.43;REPARATION ET MAINTENANCE DES AUTRES EQUIPEMENTS D'ATELIER DE REPROGRAPHIE;Repairs for binding, cutting, and finishing machines;Réparation des relieuses, massicots, et autres équipements de finition
AD;PARC DE VEHICULES;Vehicle fleet management and operations;Gestion et exploitation du parc de véhicules
AD.0;FOURNITURES, CONSOMMABLES ET PETITS EQUIPEMENTS POUR LE PARC DE VEHICULES;Supplies and small equipment for vehicle maintenance and use;Fournitures et petits équipements pour l'entretien et l'utilisation des véhicules
AD.01;ACCESSOIRES ET PIECES DETACHEES POUR LE PARC DE VEHICULES;Vehicle accessories and spare parts (e.g. wipers, bulbs, batteries);Accessoires et pièces détachées pour véhicules (essuie-glaces, ampoules, batteries)
AD.02;MATERIEL, OUTILLAGE ET EQUIPEMENTS DE GARAGE ET STATION SERVICE;Garage tools and service station equipment (e.g. lifts, compressors);Matériel de garage et station-service (ponts élévateurs, compresseurs)
AD.03;PRODUITS POUR L'ENTRETIEN DES VEHICULES;Car care products (e.g. oils, cleaning agents, windshield fluids);Produits d’entretien automobile (huiles, liquides de lave-glace, nettoyants)
AD.04;MATERIEL D'ESSAIS DE CHOCS ET ACCESSOIRES;Crash test equipment and related accessories (e.g. dummies, sensors);Matériel pour essais de chocs (mannequins, capteurs, dispositifs de test)
AD.1;PARC VEHICULE (ACHAT OU LOCATION DE LONGUE DUREE);Vehicle acquisition or long-term leasing;Achat ou location longue durée de véhicules
AD.11;VEHICULES AUTOMOBILES DE TRANSPORT DE PERSONNES (ACHAT OU LOC. LONGUE DUREE);Passenger cars for institutional use (e.g. sedans, vans);Véhicules de transport de personnes (berlines, minibus) – achat ou location
AD.12;VEHICULES AUTOMOBILES DE TRANSPORT EN COMMUN (ACHAT OU LOC. LONGUE DUREE);Public transport vehicles (e.g. buses, shuttles);Véhicules de transport collectif (bus, navettes)
AD.13;VEHICULES AUTOMOBILES DE TRANSPORT DE MARCHANDISES (ACHAT OU LOC. LONGUE DUREE);Goods transport vehicles (e.g. vans, trucks);Véhicules utilitaires pour le transport de marchandises (camionnettes, camions)
AD.14;CYCLES ET CYCLOMOTEURS;Bicycles, e-bikes, and mopeds;Vélos, vélos électriques et cyclomoteurs
AD.15;VEHICULES TRACTES;Towed vehicles and trailers (e.g. utility trailers);Véhicules tractés et remorques (remorques utilitaires, porte-engins)
AD.2;CARBURANTS;Vehicle fuels and energy sources;Carburants et énergies pour véhicules
AD.21;CARBURANTS A LA POMPE EN STATION SERVICE (VEHICULES TERRESTRES,...);Pump fuel for land vehicles (e.g. diesel, unleaded);Carburants distribués en station-service (gazole, sans plomb)
AD.22;KEROSENE;Kerosene fuel (primarily for aviation);Kérosène (carburant pour avions ou équipements spécifiques)
AD.23;CARBURANTS STOCKES;Bulk or stored fuel for on-site distribution;Carburants en vrac ou stockés pour usage interne
AD.24;CARBURANT POUR BATEAUX (APPROVISIONNEMENTS AU PORT);Marine fuel supplied at port (e.g. diesel for boats);Carburant pour navires ou embarcations, livré au port
AD.25;RECHARGE ELECTRIQUE POUR VEHICULES;Electric vehicle charging (e.g. EV stations, charging credits);Recharge pour véhicules électriques (bornes, abonnements)
AD.3;SERVICES POUR LE PARC VEHICULE;Services related to vehicle fleet operations;Prestations de service liées à la gestion de flotte
AD.31;CONTROLES TECHNIQUES DES VEHICULES;Mandatory vehicle inspections and roadworthiness checks;Contrôles techniques obligatoires des véhicules
AD.4;ENTRETIEN ET REPARATION DU PARC VEHICULE;Fleet maintenance and repair operations;Entretien et réparations courantes du parc de véhicules
AD.41;ENTRETIEN ET REPARATION DU PARC VEHICULE;Vehicle servicing and repair (e.g. oil change, brake repair);Révisions et réparations mécaniques des véhicules
AD.42;NETTOYAGE DES VEHICULES;Vehicle cleaning (interior/exterior washing, detailing);Nettoyage intérieur et extérieur des véhicules
AD.43;MAINTENANCE DU MATERIEL DE GARAGE ET STATION SERVICE;Maintenance of workshop and fueling station equipment;Maintenance des équipements de garage et de station-service
AD.44;SERVICES DE GESTION DE FLOTTE AUTOMOBILE;Fleet management services (e.g. telematics, maintenance tracking);Services de gestion de flotte (suivi, optimisation, télématique)
AE;ACTIVITES SPORTIVES, MUSICALES ET RECREATIVES;Sports, music, and recreational activities;Activités sportives, musicales et de loisirs
AE.0;FOURNITURES ET EQUIPEMENTS POUR LE SPORT;Sportswear, equipment, and accessories;Articles et équipements pour la pratique sportive
AE.01;VETEMENTS, CHAUSSURES ET ACCESSOIRES (HORS EPI);Sportswear and shoes (e.g. tracksuits, running shoes, caps);Vêtements et chaussures de sport (joggings, baskets, casquettes – hors EPI)
AE.02;PETITES FOURNITURES DE SPORT;Small sports items (e.g. balls, whistles, cones);Petites fournitures pour le sport (ballons, sifflets, cônes)
AE.03;EQUIPEMENTS DE SPORT (POUR INFRASTRUCTURES,…);Larger sports equipment (e.g. goals, gym mats, nets);Équipements sportifs pour infrastructures (buts, tapis de sol, filets)
AE.1;FOURNITURES ET EQUIPEMENTS POUR ACTIVITES MUSICALES;Musical instruments and accessories;Matériel pour les activités musicales (instruments, accessoires)
AE.11;INSTRUMENTS DE MUSIQUE ET ACCESSOIRES;Musical instruments and related gear (e.g. guitars, strings, music stands);Instruments de musique et accessoires (guitares, cordes, pupitres)
AE.2;FOURNITURES ET EQUIPEMENTS POUR ACTIVITES RECREATIVES ET D'EXTERIEUR;Recreational and outdoor activity supplies;Matériel pour loisirs créatifs et activités extérieures
AE.21;JEUX EDUCATIFS;Educational games and materials (e.g. puzzles, STEM kits);Jeux éducatifs (puzzles, jeux pédagogiques, kits scientifiques)
AE.22;FOURNITURES ET EQUIPEMENTS POUR ACTIVITES EXTERIEURES;Outdoor play equipment (e.g. skipping ropes, kites, balls);Équipements pour jeux et activités en extérieur (cordes à sauter, cerfs-volants)
AE.23;AUTRES FOURNITURES ET EQUIPEMENTS POUR ACTIVITES RECREATIVES;Miscellaneous recreational items (e.g. arts & crafts kits);Autres fournitures de loisir (kits créatifs, accessoires de jeux)
AE.24;JOUETS;Toys for various age groups (e.g. action figures, dolls);Jouets pour enfants (figurines, poupées, jeux d'imitation)
AE.25;FIGURINES;Plastic or collectible figurines (e.g. superheroes, animals);Figurines de jeu ou de collection (super-héros, animaux)
AE.26;PELUCHES;Stuffed animals and plush toys;Peluches et doudous pour enfants
AE.27;ARTICLES TEXTILES ET BIJOUX;Textile-based play items and costume jewelry;Articles textiles ludiques et bijoux fantaisie (bracelets, sacs, déguisements)
AE.3;REPARATION ET MAINTENANCE DES EQUIPEMENTS POUR ACTIVITES SPORTIVES, MUSICALES ET D'EXTERIEUR;Maintenance and repair of sports, music, and outdoor gear;Entretien et réparation des équipements de sport, musique et plein air
AE.31;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE SPORT;Repair of sports gear (e.g. fixing goals, gym equipment);Réparation du matériel sportif (buts, agrès, machines de fitness)
AE.32;REPARATION ET MAINTENANCE DES INSTRUMENTS DE MUSIQUE;Instrument repair services (e.g. tuning, restringing);Maintenance et réparation d’instruments (accord, changement de cordes)
AE.33;REPARATION ET MAINTENANCE DES EQUIPEMENTS POUR ACTIVITES RECREATIVES;Repair of leisure and outdoor play equipment;Réparation des équipements de loisirs (jeux d’extérieur, structures gonflables)
AE.4;SERVICES SPORTIFS;Professional sports-related services;Prestations liées à l’organisation ou la gestion d’activités sportives
AE.41;SERVICES D'ORGANISATION ET DE PROMOTION DES MANIF. SPORTIVES (HORS EVENEMENTIEL);Non-commercial organization and promotion of sports events;Organisation et promotion de manifestations sportives non événementielles
AE.42;SERVICES D'EVALUATION, D'ENREGISTREMENT OU DE CONTROLE DES PRESTATIONS SPORTIVES;Evaluation or regulatory services (e.g. refereeing, scoring systems);Services d’arbitrage, d’évaluation ou d’enregistrement sportif
AE.43;SERVICES D'EXPLOITATION DES INSTALLATIONS SPORTIVES;Operation of sports facilities (e.g. management, access control);Exploitation et gestion des infrastructures sportives
AE.44;AUTRES SERVICES POUR LE SPORT;Other services for sports (e.g. coaching, workshops);Autres prestations sportives (coaching, stages, animations)
AE.5;SERVICES RECREATIFS;Recreational services (e.g. leisure centers, workshops);Services liés aux loisirs et à l’animation
AE.51;SERVICES D'ANIMATION RECREATIFS;Recreational entertainment services (e.g. children’s activities, holiday camps);Animations récréatives (ateliers enfants, colonies de vacances)
AE.52;AUTRES SERVICES RECREATIFS;Other recreational services (e.g. circus shows, craft workshops);Autres services de loisirs (spectacles, ateliers créatifs)
AF;AUTRES APPROVISIONNEMENTS GENERAUX;Other general institutional supplies and services;Autres fournitures et prestations générales pour les établissements
AF.0;SALLES D'ENSEIGNEMENT;Equipment and furniture for classrooms and teaching spaces;Aménagement et équipement des salles d’enseignement
AF.01;MOBILIER PEDAGOGIQUE;Educational furniture (e.g. desks, whiteboards, student chairs);Mobilier pour l’enseignement (tables, tableaux, chaises d’élèves)
AF.1;AUTRES PETITES FOURNITURES GENERALES;Miscellaneous general small supplies;Petites fournitures diverses non classées ailleurs
AF.11;ARTICLES DE DECORATION ET D'ORNEMENT;Decorative items (e.g. wall art, indoor plants, seasonal décor);Articles décoratifs et d’ornementation (affiches, plantes, décorations saisonnières)
AF.2;AUTRES SERVICES GENERAUX;General-purpose services (excluding IT or maintenance);Services généraux divers (hors informatique et maintenance)
AF.21;LOCATION DE SALLES DE COURTE DUREE (HORS EVENEMENTIEL);Short-term room rental (e.g. classrooms, meeting rooms);Location temporaire de salles (hors événements – réunions, cours)
AF.3;FOURNITURES ET EQUIPEMENTS POUR CARTES MULTISERVICES;Supplies and systems for multiservice ID cards (e.g. access, payment);Matériel pour cartes multiservices (badges d’accès, cartes de paiement)
AF.31;CARTES MULTISERVICES;Multiservice cards (e.g. magnetic, RFID, contactless cards);Cartes multiservices (badges, cartes RFID ou sans contact)
AF.32;SYSTEMES DE CREATION ET DE GESTION DE CARTES MULTISERVICES;Systems to produce and manage cards (e.g. printers, management software);Systèmes de création et gestion de cartes (imprimantes, logiciels)
AF.33;REPAR. ET MAINT. DE SYSTEMES DE CREATION ET GESTION DE CARTES MULTISERVICES;Repair and maintenance of multiservice card systems;Maintenance des systèmes de création/gestion de cartes multiservices
B;BATIMENTS - INFRASTRUCTURES - TRAVAUX - ESPACES VERTS;Buildings, infrastructure, construction, and green spaces;Bâtiments, travaux publics, infrastructures et espaces extérieurs
BA;FLUIDES ET COMBUSTIBLES;Fluids and fuels (distribution, consumption, and infrastructure);Fluides (eau, électricité, gaz) et combustibles
BA.0;FLUIDES (ABONNEMENTS ET CONSOMMATION) ET COMBUSTIBLES;Utility subscriptions and fuel consumption (e.g. water, electricity, gas);Consommation et abonnements aux fluides (eau, électricité, gaz) et combustibles
BA.01;ELECTRICITE DISTRIBUEE;Supplied electricity (contracted energy usage);Électricité achetée via abonnement (réseaux de distribution)
BA.02;COMBUSTIBLES GAZEUX DISTRIBUES;Distributed gaseous fuels (e.g. natural gas for heating);Gaz distribués (gaz naturel, propane réseau)
BA.03;EAU COURANTE;Mains water supply (potable and utility);Eau courante (alimentation en eau potable ou technique)
BA.04;FIOUL DOMESTIQUE;Heating oil for buildings (bulk fuel deliveries);Fioul domestique pour chaudières ou groupes électrogènes
BA.05;CHAUFFAGE URBAIN;District heating services (centralized heat networks);Chauffage urbain (réseau de chaleur collectif)
BA.06;AUTRES COMBUSTIBLES (BOIS DE CHAUFFAGE,…);Other fuels (e.g. wood logs, pellets, coal);Autres combustibles (bûches, granulés bois, charbon)
BA.1;EQUIPEMENTS RELATIFS A LA DISTRIBUTION DES FLUIDES;Equipment for storing and distributing utilities (e.g. tanks, valves);Matériel de distribution des fluides (cuves, vannes, conduites)
BA.11;MATERIEL DE STOCKAGE DES FLUIDES (CUVES A FIOUL,…);Fluid storage systems (e.g. fuel tanks, water reservoirs);Équipements de stockage de fluides (citernes, réservoirs à fioul)
BB;FOURNITURES, EQUIPEMENTS ET SERVICES POUR L'ENTRETIEN DES LOCAUX ET L'HYGIENE;Cleaning, hygiene supplies, and related services;Produits, équipements et prestations pour le nettoyage et l’hygiène des locaux
BB.0;FOURNITURES ET EQUIPEMENTS POUR L'ENTRETIEN DES LOCAUX ET L'HYGIENE;Supplies and tools for hygiene and facility cleaning;Fournitures et matériel pour l’entretien des locaux et l’hygiène
BB.01;PRODUITS ET PETITES FOURNITURES D'HYGIENE ET DE TOILETTE;Personal hygiene and restroom supplies (e.g. soap, toilet paper);Produits d’hygiène personnelle et de sanitaires (savons, papier hygiénique)
BB.02;PRODUITS ET PETITES FOURNITURES D'ENTRETIEN MENAGER;General cleaning products (e.g. detergents, disinfectants);Produits d’entretien ménager (détergents, désinfectants, éponges)
BB.03;MATERIEL POUR L'ENTRETIEN DES LOCAUX;Cleaning equipment (e.g. vacuum cleaners, trolleys, mops);Matériel de nettoyage (aspirateurs, balais, chariots de ménage)
BB.1;SERVICES DE NETTOYAGE/ENTRETIEN DES LOCAUX;Facility cleaning and janitorial services;Services de nettoyage et d’entretien des bâtiments
BB.11;SERVICES DE NETTOYAGE COURANT DES LOCAUX;Routine cleaning services (e.g. daily janitorial work);Prestations de nettoyage courant (ménage quotidien, entretien régulier)
BB.12;SERVICES DE NETTOYAGE SPECIALISE DES LOCAUX;Specialized cleaning (e.g. post-construction, industrial areas);Nettoyages spécialisés (après travaux, locaux industriels, sinistres)
BB.13;SERVICES DE NETTOYAGE DES VITRES;Window cleaning services (interior and exterior);Nettoyage des vitres (bureaux, façades, vitrines)
BB.14;SERVICES DE NETTOYAGE ET D'ENTRETIEN DES LOCAUX SENSIBLES;Cleaning of sensitive areas (e.g. labs, clean rooms);Nettoyage de zones sensibles (salles blanches, laboratoires, zones stériles)
BB.2;SERVICES SPECIALISES D'ENTRETIEN DES LOCAUX;Specialized sanitation and pest control services;Services spécialisés d’hygiène et de maintenance des locaux
BB.21;SERVICES DE DESINFECTION;Disinfection services (e.g. microbial decontamination);Services de désinfection des surfaces, locaux ou équipements
BB.22;SERVICES DE DERATISATION;Rodent control and extermination services;Prestations de dératisation (pièges, appâts, interventions)
BB.23;SERVICES DE DESINSECTISATION;Insect control (e.g. cockroaches, wasps, bed bugs);Services de désinsectisation (cafards, punaises, guêpes)
BB.24;SERVICES DE DECONTAMINATION NUCLEAIRE, BIOLOGIQUE OU CHIMIQUE;Specialized decontamination (e.g. after biohazards or chemical spills);Décontamination après incidents nucléaires, biologiques ou chimiques
BB.3;SERVICES DE TRAITEMENT DES DECHETS;Waste disposal and recycling services;Services d’élimination et de valorisation des déchets
BB.31;SERVICES DE TRAITEMENT DES DECHETS CHIMIQUES ET ASSIMILES;Chemical waste management (e.g. solvents, reagents);Traitement des déchets chimiques (solvants, produits de laboratoire)
BB.32;SERV. TRAITMNT DECHETS BIOLOG. ET D'ACTIVIT. DE SOINS A RISQUES INFECTIEUX (DAS);Infectious and biomedical waste services;Traitement des déchets biologiques ou DASRI (activités de soins)
BB.33;SERVICES DE TRAITEMENT DES DECHETS RADIOACTIFS D'ACTIVITES NUCLEAIRES;Radioactive waste disposal services;Gestion des déchets radioactifs issus d’activités nucléaires
BB.34;SERVICES DE TRAITEMENT DES DECHETS DEEE;Disposal of electrical and electronic waste (WEEE);Traitement des déchets électriques et électroniques (DEEE)
BB.35;SERVICES DE TRAITEMENT DES DECHETS PAPIER;Paper recycling and secure destruction services;Traitement et recyclage du papier (bennes, destruction sécurisée)
BB.36;SERVICES DE TRAITEMENT DES AUTRES DECHETS (MENAGERS, INDUSTRIELS,…);General and industrial waste treatment services;Traitement des déchets ménagers, industriels ou encombrants
BB.4;REPARATION ET MAINTENANCE DU MATERIEL D'ENTRETIEN DES LOCAUX;Maintenance of cleaning equipment and tools;Réparation du matériel de nettoyage (aspirateurs, autolaveuses)
BB.41;REPARATION ET MAINTENANCE DU MATERIEL D'ENTRETIEN DES LOCAUX;Repair and upkeep of cleaning machines (e.g. floor scrubbers);Entretien et réparation des équipements de nettoyage professionnel
BC;AUTRES SERVICES AUX BÂTIMENTS;Building-related support and compliance services;Services auxiliaires aux bâtiments (sécurité, accueil, contrôles)
BC.0;SERVICES D'ACCUEIL, GARDIENNAGE, PROTECTION ET SECURITE;Reception, surveillance, and building security;Accueil, sécurité des biens et des personnes dans les bâtiments
BC.01;SERVICES DE GARDIENNAGE ET DE SECURITE;Security and guard services (e.g. on-site patrols, night watch);Gardiennage, surveillance humaine, sécurité privée
BC.02;SERVICES DE TELESURVEILLANCE;Remote surveillance services (e.g. alarm response, video monitoring);Télésurveillance à distance (alarmes, caméras, centres de contrôle)
